passenger,name,package,luggage,station,bureau,address
True,埃岱,False,False,False,成都铁路局,四川省凉山州甘洛县苏雄乡埃岱村
True,安德,False,False,False,成都铁路局,四川省郫县安德镇泉水村6组
True,安富镇,False,False,False,成都铁路局,重庆市荣昌县安富镇安福街道石燕子社区212号
True,安家湾,False,False,False,成都铁路局,四川省广元市利州区大石镇安乐村
True,八里,False,False,False,成都铁路局,成都市成华区青龙城致兴路八里火车站
True,白果,False,False,False,成都铁路局,四川省凉山州越西县白果村
True,临清,False,False,True,济南铁路局,山东省临清市东外环路
True,临沂,True,True,True,济南铁路局,山东省临沂市兰山区沂蒙路223号
True,临沂北,False,False,True,济南铁路局,山东省临沂市河东区凤仪路东端
True,临淄,True,True,True,济南铁路局,山东省淄博市临淄区牛山路310号
True,南仇,False,False,True,济南铁路局,山东省淄博市临淄区辛化路3839号
True,平邑,False,False,True,济南铁路局,山东省平邑县板桥路北端
True,平原,False,False,True,济南铁路局,山东省德州市平原县车站街537号
True,青岛,True,True,True,济南铁路局,山东省青岛市泰安路2号
True,长城,False,False,False,兰州铁路局,甘肃省白银市景泰县草窝滩镇长城车站
True,长农,False,False,False,兰州铁路局,宁夏回族自治区中宁市同心县长山头乡长农车站
True,陈官营,False,False,False,兰州铁路局,甘肃省兰州市西固区陈坪乡陈官营车站
True,崇信,False,False,False,兰州铁路局,甘肃省平凉市崇信县铜城镇崇信车站
