start,code,end,train_no
北京西,Z97,广州东,2400000Z9703
广州南,G97,西安北,6c00000G960B
西安北,G98,广州南,4f00000G980C
九龙,P98,北京西,6500000P9803
九龙,Z98,北京西,6500000Z9805
上海,P99,九龙,5500000P9910
上海,Z99,九龙,5500000Z9930
广州东,Z100,上海,650000Z10002
北京,D101,哈尔滨西,240000D1010S
北京南,G101,上海虹桥,240000G1010C
北京,K101,温州,240000K10109
上海南,T101,深圳,550000T10150
厦门,Z101,长春,580000Z1040A
哈尔滨西,D102,北京,0h0000D1020E
长春,Z102,厦门,110000Z10206
温州,K102,北京,5a0000K102B2
上海虹桥,G102,北京南,5l0000G10261
深圳,T102,上海南,650000T1020C
长春,Z103,厦门,110000Z10206
厦门,Z104,长春,580000Z1040A
上海虹桥,G104,北京南,5l0000G10461
北京南,G105,上海虹桥,240000G1050H
北京西,K105,深圳,240000K1051H
济南,Z105,乌鲁木齐,470000Z10504
上海虹桥,G106,北京南,5l0000G10651
深圳,K106,北京西,650000K1060S
乌鲁木齐,Z106,济南,930000Z10602
北京南,G107,上海虹桥,240000G1070E
北京西,Z107,深圳,240000Z1070A
上海虹桥,G108,北京南,5l0000G10861
深圳,Z108,北京西,650000Z10804
北京,T109,上海,240000T1090U
武昌,K109,昆明,390000K10904
上海,T110,北京,550000T11061
上海虹桥,G110,北京南,5l0000G11091
昆明,K110,武昌,800000K1100C
哈尔滨,Z111,海口,010000Z11404
珲春,D111,齐齐哈尔,1c0000D11404
北京南,G111,上海虹桥,240000G1110R
上海南,K111,贵阳,550000K111D2
兰州,T111,杭州,850000T11482
齐齐哈尔,D112,珲春,040000D11206
杭州,T112,兰州,560000T11251
上海虹桥,G112,北京南,5l0000G11291
海口,Z112,哈尔滨,6b0000Z11203
贵阳,K112,上海南,780000K11207
齐齐哈尔,D113,珲春,040000D11206
北京南,G113,上海虹桥,240000G1130F
杭州,T113,兰州,560000T11251
海口,Z113,哈尔滨,6b0000Z11203
成都,K113,昆明,760000K1130B
哈尔滨,Z114,海口,010000Z11404
珲春,D114,齐齐哈尔,1c0000D11404
